,product,title,rating,body
10,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Worst quality & even it's not 32inches bad speaker quality,1.0,"One star because of poor installation serviceI've received a call of installation guy at 10am he said he'll be at location after 1.5 hour so I said ok please come waiting of him after 2 hours he didn't came & stop picking the call, Suddenly after half n hour again I received the call he asked sir did engineer call you & visit your place I saidhl he called me at 10:00am but he didn't come & even not picking my call I'm trying him alot after long conversation of half n hour he arranged another guy he gaves me the contact of another guy again I've called him he is saying sir I'll be there after 2.5 hour which is completely hard for me too wait I was getting late for office as you know the problem of covid 19 offices fire there's worker well after talk to with him I've send him location again he called me after 1 hour & said sorry I'm not coming o asked why??? Guy's word was talk to my boss... Brother who is your boss??? I would I know again after 15 min. I've received call again sir I'm visiting your place for installation I was surprised that whole Amazon company engineers visiting my home??? Well again 20min he called me & said sir I'm not coming wtf??? This whole scene was of 10 am to 2:15pm then finally engineer came 3pm & installated the led the whole wait was of only 4 screws wow amazon please improve your service which is totally sucks I've missed my office.. led performance is good but the speaker sound is not up to the marks picture quality is good"
11,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Awesome!!!!,3.0,"Tv is awesome at this price.  Among all the competitors in this range of tv , oneplus tv is best.1. Viewing experience2. Sound3. Performance4. FluenceAll this upto mark.I'm giving 3 star because of the following reason.1. Oneplus connect app is not working with tv2. I'm unable to find any datasaver option3. Available storage is less"
12,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),A great product...!!!,5.0,"Was eagerly waiting for this Tv, it’s economically priced and I got it for 11.7k, super thin and lite weight..!! Thin Bezels and a absolute delight. Audio for a small room is great, bigger room it seems to be quiet less. Been using it whole day, just that one plus connect didn’t work with my iPhone and content from pendrive also not viewable at all, not sure if it’s supposed to be like that or there is some issue with the product.Called one plus customer care, who told One plus connect won't work for iOS, and suggested to long press the home button and select one plus server to connect android and to my surprise iOS also can get connected and works flawlessly.Moving on to the pen drive issue after a lot of research, trial and errors-It works only on the format FAT32."
13,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),OnePlus offers superb product quality. Value for money.,4.0,The video quality is good but  sound quality is average with marginal noise on higher volume. I have viewed Online content and seen DTH tv they  gives true colors and you will truly love it.Dolby sound quality is enough even for living room . For DTH opt for a Dolby supported settop box. I am using airtel xtream box (4k)which is only 2249 for airtel thanks customer .SOFTWARE lags at times and when you select Live TV at times it will not start and gets back to homescreen. Was able to mirror cast through oneplus connect. OnePlus connect app helps to use mobile as remote after the initial update. The viewing angles are ok but this is VA panel so nothing like IPS panel. OnePlus has done good job with regards to video quality as it gives DCI P3 color gamut . Google assistant works fine too. The best thing is the customer service OnePlus offers which is top notch and they listen to you with patience. After sales matter and customer service matter alot in this era. Overall worthy contender.
14,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),A Blot in the name of One Plus,1.0,"Bought during first sale on 5th July.This TV is a blot on the name of One Plus, they shouldn't have launched any product with such poor quality.Picture quality is very poor, colors doesn't look natural at all, tried all the color settings. May be good for a monitor but not definitely good as a TV.Sound quality is the biggest setback, it sounds like a 3rd rate speaker and sound isn't balanced. There is no clarity in the sound, you won't be able to comprehend no matter what is playing on screen.Frame of TV isn't durable, it seems like the screen will fall off the frame at any minute.Summary: Don't expect anything good from this TV, this product doesn't deserve the One Plus brand name. One Plus should recall this product to maintain their brand image.I would have returned this product if there was an option."
15,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),"Dont buy,Worst tv with bad display and sound disturbance",1.0,"Oneplus is settled for this cheap built quality,it comes with plastic body,screen is not at all good,if you pressure you can see liquid like flowing which we see in cheap quality products,sound is too worst,in an olden days when you full the volume you can get bad sound with disturbance now you can experience same with this tv"
16,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Value for money.,5.0,"Ordered on 18th and got it by 20th Afternoon, here's an honest review.But before that, here's a few tips for people who are going to buy it.You'll get an Echo Dot only if you order it with the tv at the same time, read the terms and conditions before leaving one star reviews because you didn't order the echo dot from your end and obviously didn't get it with the TV.To use the One Plus Connect app, you have to update the TV first, the OTA will be there when you turn on the TV for the first time.After that, open the connect server app on the TV, and then open the Connect app on the phone and it would work.Again, do a little research before leaving negative reviews and confusing the potential buyers.The type sync function(use the phone to type on the tv through the Connect App) doesn't work as of now, but would start working in the next app update. Head over to the community forum for the one plus tv to find more details.If you talk about hardware, the TV is flawless, those who are complaining about the TV simply have a bigger room that the TV is designed for. You can always buy a soundbar if you think the volume isn't sufficient for your room. For me, it's more than enough.The display is top notch and the colors are vibrant. It's truly bezel-less and looks beautiful.About the software, there are a few misses here and there, but I'm sure it can be fixed through a software update.ScreenCast lags a lot, I'm waiting for an update to see if it's fixed.To people who think that the TV lags a lot, think of the TV as a phone with 1 GB RAM, if you keep opening apps repeatedly in a short period of time, the phone would lag, same is the case with the TV.It's a value for money for those who don't wanna spend a fortune to get a TV with a good display."
17,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Amazon failed to give me my Echo Dot which was supposed to be delivered at no charge.,4.0,"Firstly I did not receive my Amazon Echo Dot at no cost as promised.So I'm really pissed off however I liked the tv, good in quality and sound is pretty loud too.It's absolutely slim and sleek.Beautifully designed.Kudos to designed team.Easy to browse through apps and quick and easy to connect to phone especially one plus phones.Screen cast is just a click away.Gotta do some more research on One Connect App.It's giving me some hard time to connect to the TV."
18,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),A Perfect TV For Casual Users Who Simply Want To Enjoy Content,5.0,"I bought this TV in the first sale on 5th July and have been loving it. Amazon installation was prompt and it was set up the same day as the delivery. It is pretty light and slim, as given in the specs.The picture quality is fabulous, colors are right and everything about the display is better than normal. As a normal user, you wouldn't notice any point of complaint regards to display.Speakers are loud enough, and we are bound to mostly use it at 25% of the maximum volume. Dolby surrounds sound is an added benefit that does enhance the sound experience of the TV.It runs Android 9.0 out of the box with Oxygen Play as the skin and the UI is pretty simple. It automatically fetches major information from the apps that you add to the home screen given you have signed in if required. The animations and transitions between application is sleek and there is no lag whatsoever. If you have used an android phone, the UI is no alien and the navigation will seem very familiar.The connectivity ports provided are ample and the WiFi reception is also pretty strong. I don't know about the bells and whistles that other TVs come equipped with, but as a normal user who wants to enjoy his shows, videos, and cinema on a smart TV from all the contemporary sources like prime video, Netflix, youtube, etc., this is the perfect option."
19,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),12.9 K not worth for this type of quality,1.0,"It just got delivered on the second day of sale,fixed also, installation was done above 6 feet,1.Sound quality is not good.2.Remote is not actual bluetooth as it doesn't sense 100%.3.With this price range we could have gone with the other brands.4.Only buy if you are 1+ lover other wise its not worth.."
20,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Detailed Guidance and Analysis of the TV for all Prospective Buyers and Confused Buyers,4.0,"Overall Analysis and Reviews for all prospective buyers -1. Picture Quality -The TV is definitely a worthy purchase as its Picture Quality is by far the best in class in compared to other competitors.Build Quality too is Good.The bezel and screen is definitely a Masterpiece as the Bezels are indeed Minimum & the way the screen is built is extremely Unique and different than other competitors.Can't comment on Viewing Angles as honestly I am not an expert also most people watch TV directly in straight direction and all these Viewing Angles talk is just a gimmick to confuse you all.2. OSEarlier reports were that the TV is very laggy especially w.r.t 32inch however I did not experience much lag. One needs to understand that in this segment all competitors offer similar config of Ram and Processor which are definitely not high-end HOWEVER like how it has been hyped on Lag part .. I found it to be rather untrue as Lag exists but not to a huge extent.OnePlus own software optimization is amazing as really clean and bloat free.The TV remembers the last input and so turns on by default on the said input mode on boot-up.Tv has a unique style of Boot Up and Shut down method as on single power off press it seems TV is more on standby mode and only on Long Press of power off will the TV shutdown completely.Boot up timing is good as its not too delayed.3. Sound - Major let down as sound is definitely not at all.upto the mark however this is problem which is common amongst all competitors as each hv low Quality speakers only.I already have a soundbar so this aspect anywhich ways had 0 impact as all competitors fail in sound aspect in these cost segment of TVs totally per my experience.4. Accessibility of Ports - Perhaps the major let down for me are the accesibility of the ports as they are not at all User Friendly and not readily accessible specially for people who have opted for Wall Mount like in my case.The downward location of Port is the most Negative aspect for me.However as I hardly use ports much so again not a major impact however for others it can seem to be a problem mainly for users who have more requirements of port like hdmi and all however with an HDMI extender you will be good to go just an investment of 200-300 rs for an extender may be required.Table Top installation people have nothing to be worried off. This is least concern for them.5. Connectivity - Though a single band wifi Router Exists, the same works absolutely fine and 0 loss or issues atleast till now.6. Installation - Installation was a bit challenge mainly due to screw-up by Third party responsible for installation however with Amazon Escalation it was handled timely and despite hiccups TV was installed on the scheduled date only by EOD.There's a lot of confusion with regards to Wall Mount, well let me be clear that Wall Mount is totally Free and nothing needs to be paid at all.Beware that Installation guy may make some charge and ask to pay however fight back, escalate, talk to their Manager or ask for official bill and you will be good to go as nothing will be charged then.Only lack of clarity remains is around the type of Wall Mount used, as in my case , the guy used an generic brand wall Mount bracket and it is not at all clear whether Oneplus has their own branding of Wall Mount.. Maybe others can add-on.7. Remote - Remote design and all is pure beauty with minimalistic design however dont know where the issue seems to be with Remote or otherwise as it could be like at-times mutilple times pressing could be required especially to Turn On the Tv. Not sure whether its remote lag or otherwise - Maybe Oneplus can fine tune with update.Overall Analysis & Recommendation -Tv is definitely highly recommend for people priority and focus is Picture Quality and OS (highly recommended for OTT users like me) .Bedroom TV - Best Choice 💯If you have soundbar then don't think otherwise as its the best option from others outhere literally.MI TV and All completely fail in comparison to this.Got free Echo Dot too.. Many complained of not getting as they did not read the offer properly as the speaker needs to be added in cart along with TV inorder for promo to apply automatically.TV is not Alexa based and so could not completely reap the benefits of the same with Echo however maybe with update this could be sorted too.Also for OTT users like me it should have an option that on Boot-up TV starts at Google Launcher page only - Again update can take care of this .A word of advice for all confused buyer's - read my above detailed guide and then take a call.Nevertheless, you won't be regretted at all with this TV. OnePlus has definitely delivered its premiumness with this TV for sure and which is highly visible too.Will update the reviews if add-on or change of facts.What more are you looking out for .. simply buy this TV.Never Settle !!!😍"
21,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Failed at audio category and ports design,1.0,No audio out for the TV never tust a new brand on an entry level...if picture quality is your only pripority then go for it because that sound is worst as hell.. I don't consider price point because 13000 is not a small amount for many people. I planned to connect it to a external.speaker but the port is missing. No digital audio.out nor the traditional 3.5mm out. Highly disappointed in audio category..
22,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Bad Experience...Bad Product...Bad Service,1.0,"Absolute Disaster.....1. Echo Dot was free along with the product. But I got to know that it needs to be added while ordering. But when something is free with order, why it is required to be added. Simply to fool people.Very disappointed with Amazon this time. Really really bad.2. There is a blue flash which appears while the tv is on repeatedly.3. Sound is the worst you can think of.Overall a bad decision. Both Oneplus and Amazon have been disappointing."
23,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Amazing Tv from One Plus,5.0,"Very nice Tv in this price range from one plus.Picture quality is superb...Sound quality is ok ok but better than MI TV'sBuilt quality is also goodTv looks premium because of Bezel less design.Remote controller is also made of good quality plastic and it is very good looking, hotkeys are provided for Netflix, Prime video, YouTube and Google Assistant.Overall it's very good and budget Tv from brand like one plus compared to MI , Realme, VU, Thomsan etc."
24,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Not expected from OP,3.0,"Looks Great. Colours are Amazing. However, user Experience is not refined at all for Oneplus standard and even for any other standards for that matter. Will edit the review once OnePlus fixes below issues.Below are some of the bugs I observed in the last 2 days. Needs immediate attention from OP Software Team to protect OP's reputation.1) Very laggy interface across all apps including home screen, play store, voice assistant. Netflix etc.2) When the TV is off, power button had to be pressed couple of times before the TV could turn on3) When the TV is off, Bluetooth keeps connecting back and disconnecting from TV (Alexa keep saying got connected to Oneplus TV every few mins when used as a external speaker even when TV is off)4) TV also takes time to register inputs from OP Connect app. No keyboard on OP connect app. After restart again need to open Connect app on TV for OP Connect app on mobile to detect OP TV.5) Customize Channels on the homescreen keeps getting reset6) Even when no input is connected to the TV, the TV boots to one of the inputs (HDMI/Channel Scan) instead of home screen.7) Menu button hardly has any use on home screen and only works when used with external inputs.8) There is no option to adjust colours/sound in realtime with hardware remote (i.e.while watching media on TV)9) Alexa app does not recognize the TV even after adding and linking Account in Oneplus TV skillI guess can't be fixed with Software but still want to capture for records (While watching from straight gives great picture quality in the class, viewing angles are pretty bad compared to competition)"
25,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Bang for bucks,5.0,"Got this tv as a cheap and small entertainment unit for my bedroom. Below are the quick pointers:Pros:1. Overall design is very sleek with almost non-existent bezels on three sides. Back mount is available, along with two plastic feets that hold the tv up nice and firmly however you install it. Enough connectivity options incl HDMI arc, optical, spdif and they work as intended.2. Standard smart remote with Netflix, Prime, YouTube and Google assistant buttons. Please note that you have to pair the remote with the tv for the first time before you can use the Bluetooth mode (search in web).3. The display is pretty good with excellent color accuracy though there's no HDR/Dolby Vision support. However, I've seen the HDR implementation in cheap TVs, and I'd rather have overall bright and uniform screen which this tv provides. Minimum backlight bleeding. Slight loss of brightness at high angles of viewing but pq remains same.4. Sound quality is pretty average, but loud. It's good enough for a 10/10 room but at more than 50% volume, the dialogues become difficult to understand. I've heard the speakers in other sub 30k sets and this one is definitely among the top 3.5. Inbuilt Android 9 OS is pretty good, have access to almost all the entertainment apps that work out of the box. There's a bit of lag at times when switching apps and scrolling the menu but it's not too distracting.6. Works great with Google home and offers full voice control. Inbuilt Chromecast is fast and connects quickly. You can also cast video from laptop using Chrome/VLC/other cast apps.Cons:1. Only 768p though YouTube will go to full hd. Given the price point, it's fair, but a full hd panel would've been worth more to both consumers and company. At close distance, you can see the LEDs but more than 3ft, you're game.2. No 5ghz WiFi band support, but that's alright because sub hd content will not need more than 5-10mbps at max. Channel congestion can be a problem if you have too many devices connected to the 2.4ghz band, so keep that in mind.3. Remote lags a bit post cold startup. Especially in apps like Hotstar. Maybe software update will fix."
26,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Not a good experience with oneplus this time.,1.0,"This is the worst product by oneplus. I ordered this bcoz I'm a big fan of Oneplus smartphones and used every smartphone of oneplus so I thought this led will also be amazing. But as I received the product -Speakers were not working👎No WiFi connection was enabled 👎So the guy who visited to Install this, marked as defected.Again when I received the replacement, now the display was not working properly. So I returned this. 👎Only the good thing is the delivery by amazon which is very fast. 👍"
27,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Remote not working,1.0,Worst ever product from OnePlus. Remote not working properly. Whenever I'm trying to switch on the tv using the remote it never responds. Even OnePlus care didn't provide any solution for this issue. Amazon provided a replacement but the problem still persist. Hence returned.
28,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),One+ Names for premium Brand crystal clear performance.,5.0,"One Plus name say about its premium brand +Echo DotAudio Quality is good enough, Visual are very good, Software not lagged any where.Fixed wall mount free of cost.Instruction: On1st time turning on your Android TV dont  add google account  and location settings instantly  give some time to set up the device..I didn't see and lag and hanging issue.Later 1 hour of normal TV usage I tried to setup my google account and later I I updated my system to next version without any single lag tv working smoothly.No connectivity issue...Moreover Android tv of Oneplus in 23k range with b.less display is awesome.Echo Dot reached on separate courier the 2nd day of my online order ....working good and worth for 3.4kI'll again post review after 50 days."
29,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),"Installation service too late, no response from Amazon and OnePlus",3.0,"Tv ordered on 5th July, received on 8th July, but installation service not done by Amazon till now , they told me and mailed me your TV installation done by 8th July between 2pm to 6pm, but when I received the TV  from delivery person, within 5 minutes I got a mail from Amazon, your tv installation reschedule on 22nd July. I am shocked, then I called to Amazon, what ther told your area restriction for visit, when the ristrication once lifted we Will arrange your Tv installation service. Then I told him before 2 day you sent a mail to me your installation done by 8th July, now I received the tv , suddenly you telling me your tv installation rescheduled on 22 of July, after that no response from Amazon, I called OnePlus care about that problem 2 Times also OnePlus told me u can contact to Amazon, we can't do anything from here, Amazon will help you, After that I felt upset, I think no one help after sell, then I decided I will cancel that tv, then I cancelled. So don't buy one plus Tv, Also Tv ratings not good , Overall rating 3.4*, so please go for VU cinema TV, best tv under 13,000 , also Samsung, Motorola u can go for these TV's,"
30,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),Remote incident.,5.0,Based on a real incident.At first remote's down arrow button was not working. I was so not in a good mood. I hit the remote with my hand(just like all Indians do) . it started working.
31,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),"Overall nice TV, but not as expected",2.0,"The media could not be loaded.
                




   No doubt TV is value for money but has few small issues.1. It doesn't gets on with single press of power button on remote.2. It is a bit slow because of 1GB RAM.3. Sound quality is not a expected.Few people mentioned about not receiving free echo dot. I got it for free just you need to add it to cart with TV and at checkout they will give a full discount for echo dot."
